gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.42952,218,370,1,273,2663,307,1,260,1,206,571,868,608,835,1,556
MSTRG.32726,971,241,1,273,330,235,1,281,1,295,239,939,1255,344,1,312
MSTRG.43186,212,28,1,16,585,25,1,26,1,28,91,10,241,33,1,43
MSTRG.30210,1769,14663,1,14143,1401,13586,1,9034,6872,16021,3785,34845,15820,49149,6192,31280
MSTRG.23095,1,35,702,27,1,40,178,102,89,45,1,239,1,176,45,20
MSTRG.8730,377,195,1,223,340,183,1,197,1,191,30,316,168,150,1,94
MSTRG.33796,854,313,1,463,1225,482,1,293,309,519,1559,1246,1309,1330,253,762
MSTRG.2297,1,75,178,66,1,85,125,82,82,1,1,21,1,1,23,1
MSTRG.5179,1,546,203,428,4,465,605,603,49,393,1,955,1,636,290,466
MSTRG.39253,1,346,356,125,1,318,77,204,239,296,1,372,1,679,25,315
MSTRG.657,364,2404,1,1836,1010,1694,1,2661,269,1618,482,3076,1574,2415,455,1911
MSTRG.27453,3589,889,1,563,1224,1049,1,520,130,983,380,1934,843,1847,424,1223
MSTRG.48390,1,128,1,169,1814,331,1,114,1,378,801,1146,3116,1188,1,661
MSTRG.2959,1,320,256,416,1,319,476,199,531,249,1,555,1,544,17,313
MSTRG.47873,657,658,1,798,2393,695,1,774,1,514,218,1173,918,620,82,577
MSTRG.23461,1,106,1,92,1332,133,1,174,1,272,504,601,1717,993,1,496
MSTRG.1343,1,352,785,170,1,194,98,177,168,127,1,326,1,122,14,161
MSTRG.8875,1111,251,1,326,322,156,1,339,1,162,1,408,840,137,1,140
MSTRG.21971,1,122,470,81,1,205,1,33,388,271,1,831,1,928,310,817
MSTRG.3056,821,289,1,310,1884,264,1,186,1,187,1,668,1932,426,1,193
MSTRG.10828,1,80,590,10,1,140,1,52,668,130,1,288,1,356,105,164
MSTRG.50064,8,1,1,8166,1,1,1,5078,19,8999,1,22767,43,6475,90,14857
MSTRG.8253,1,1051,2096,848,1,936,1,1158,1217,701,1,1370,1,935,104,650
MSTRG.16607,1,231,179,33,1,247,1,52,281,265,1,741,1,810,94,506
MSTRG.5520,1,167,1078,98,1,160,1,103,424,294,1,587,1,693,392,385
MSTRG.24011,1,105,1173,72,1,173,125,27,1,56,1,195,1,168,261,159
MSTRG.35581,1,257,626,201,1,295,1,200,499,358,1,1211,1,1192,234,569
MSTRG.49563,82,376,1,246,104,466,1,395,1,338,192,715,42,809,1,519
MSTRG.15435,1,182,1281,1,1,214,1,73,374,213,1,609,1,931,220,287
MSTRG.37477,1,980,1115,546,1,749,896,1301,511,1158,391,2923,651,1481,596,984
MSTRG.34573,1,464,140,130,1,434,629,352,632,600,174,1495,33,1050,304,706
MSTRG.40656,1,130,29,104,1,122,17,113,33,141,1,439,1,496,79,225
MSTRG.50687,1,40,258,17,1,73,1,1,87,129,1,276,1,452,73,188
MSTRG.2931,1,187,1260,275,1,187,1,170,408,119,1,348,1,403,245,234
MSTRG.5030,1,139,568,161,1,157,388,232,923,77,1,695,1,546,1,399
MSTRG.9165,1,959,617,752,1,1002,1,1035,809,821,4,2158,1,2134,455,1314
MSTRG.5227,1037,302,2,316,1065,368,1,301,303,391,420,1243,1936,1285,670,687
MSTRG.9733,1,301,97,101,1,105,705,198,129,177,31,551,1,200,139,99
MSTRG.5465,1,136,1,139,1,170,791,92,526,169,1,389,1,246,299,205
MSTRG.47907,430,56,1,88,1,145,1,62,1,188,385,362,1495,468,1,218
MSTRG.37532,1,75,233,125,1,122,1,47,514,138,1,390,1,474,192,219
MSTRG.34357,1,165,581,248,1,320,1,144,358,261,1,661,1,1027,256,612
MSTRG.1462,232,110,1,132,1,173,1,161,1,230,388,540,750,348,1,258
MSTRG.5351,1,367,697,114,1,105,1,254,648,202,1,357,1,260,138,104
MSTRG.28305,1,41,1,1,1,37,233,14,147,36,1,128,1,142,23,94
MSTRG.26280,1,1,6,1,1,3,125,4,262,21,1,43,1,32,110,8
MSTRG.3432,1,419,1027,464,1,563,1,472,836,251,1,658,1,653,78,526
MSTRG.38045,1,333,1791,466,1,209,1,202,680,455,1,1190,1,909,107,780
MSTRG.2607,1,80,138,5,1,70,1,1,11,59,1,97,1,155,12,26
MSTRG.12090,1,78,2438,66,1,149,1,71,261,94,1,258,1,144,64,156
MSTRG.11379,709,421,3,313,4,349,1,490,2,287,106,563,696,273,1,272
MSTRG.27387,1,405,879,177,1,318,319,360,1,142,1,240,1,142,168,106
MSTRG.7416,1,155,873,159,1,135,1,205,402,120,1,237,1,371,111,106
MSTRG.45390,1,637,1126,303,1,342,1,277,187,332,1,862,1,402,79,244
MSTRG.22162,1,737,1255,589,1,688,373,776,101,299,51,1164,184,939,271,645
MSTRG.40274,828,177,1,139,540,153,1,101,1,201,1,599,301,606,1,323
MSTRG.18529,689,237,1,120,1003,251,1,287,1,320,136,888,1,807,1,482
MSTRG.48230,1,102,191,1,1,49,1,41,496,47,1,112,1,124,141,130
MSTRG.43595,1,224,642,316,1,326,1,121,182,219,1,634,1,818,137,408
MSTRG.27337,1,154,707,69,1,90,73,18,1,78,1,125,1,193,171,54
MSTRG.35917,2,85,208,20,1,139,99,124,129,138,1,408,1,54,1,26
MSTRG.13773,639,426,10,393,2968,725,1,367,1319,850,1497,2870,15776,3727,5117,1744
MSTRG.39246,1,167,1509,201,1,193,1,141,629,149,4,430,1,502,164,240
MSTRG.12873,990,247,1,249,1,454,1,190,2,232,163,478,1093,553,1,333
MSTRG.15417,1,87,55,23,1,94,1,103,570,50,1,171,1,163,75,87
MSTRG.46181,1,255,824,88,1,200,1,271,677,341,1,659,1,414,35,294
MSTRG.32493,250,574,1,733,851,722,1,311,121,751,443,1867,1777,2793,606,1422
MSTRG.35485,1,445,1,434,1,730,112,563,360,634,1,1847,1,2323,259,1339
MSTRG.39009,1,113,452,73,1,94,1,42,82,99,1,242,1,124,76,65
MSTRG.39817,1,441,159,172,1,497,1,263,163,276,1,672,1,894,112,482
MSTRG.46095,2,255,2,64,918,160,1,345,1,184,91,103,465,233,1,66
MSTRG.27465,1,569,93,306,1,490,1,558,824,336,1,906,1,287,139,220
MSTRG.13347,100,715,1,1172,2649,796,1,752,83,720,924,2087,476,3089,466,1567
MSTRG.43622,230,177,1,263,1681,429,1,166,286,399,462,1069,1802,1463,627,801
MSTRG.40368,1,161,1,94,291,232,1,180,1,288,285,902,1884,905,1,341
MSTRG.12520,1,18,135,20,1,59,1,26,67,25,1,192,1,69,22,30
MSTRG.2367,1,116,1,62,285,79,1,178,1,168,105,286,165,281,1,208
MSTRG.29041,1,370,310,437,1,417,1,306,332,401,1,1085,1,753,111,438
MSTRG.152,1,366,2181,200,1,236,1,434,265,248,3,710,4,636,151,327
MSTRG.17786,1,279,592,267,1,190,163,284,1,127,1,390,1,393,105,210
MSTRG.44826,122,127,1,125,1349,147,1,232,1,122,58,196,1,83,3,122
MSTRG.49165,1,175,1,83,303,75,1,187,1,115,113,202,1532,19,1,77
MSTRG.38832,2,7,3,46,17,14,1,53,1,10,10,1,422,18,5,20
MSTRG.39174,1,500,1537,193,12,300,352,326,84,727,12,2058,1,1123,104,671
MSTRG.18698,1,72,1,1,1,45,472,12,1,82,1,210,1,142,129,113
MSTRG.14698,1,249,834,100,4,200,701,196,377,295,1,453,1,143,1,276
MSTRG.27331,1,44,600,1,1,46,1,50,205,49,1,226,1,140,26,78
MSTRG.20667,1,1,833,1,3,16,1,1,112,1,1,16,1,13,1,3
MSTRG.22967,220,212,1,211,231,70,2,132,9,106,76,204,652,270,31,222
MSTRG.1149,1,445,843,333,1,453,1,355,71,353,1,1138,1,709,114,440
MSTRG.682,1,48,183,1,1,81,1,22,337,83,1,166,1,118,1,29
MSTRG.16560,1,137,1150,222,1,155,1,224,366,151,1,436,1,293,57,234
MSTRG.20615,1,100,1,1,1,21,3,8,90,129,1,243,2,243,85,86
MSTRG.50626,1,1183,658,1248,1,1426,280,849,1049,2833,1075,5819,4795,8693,1723,5164
MSTRG.8822,1,81,1,37,418,103,1,50,1,276,426,624,331,909,1,471
MSTRG.40007,1,458,1,204,10,496,1096,386,532,426,1,1207,1,1583,258,1019
MSTRG.39493,1,438,266,530,1,321,381,429,330,330,1,444,1,474,1,240
MSTRG.5622,1,124,1,84,1,207,865,33,1,216,1,712,1,578,395,259
MSTRG.22266,710,396,1,437,1939,986,1,950,300,782,478,1949,143,1260,322,827
MSTRG.13372,1,459,1,577,1095,515,1,817,1,169,248,408,20,490,1,260
MSTRG.33113,1,778,491,386,3,580,1,616,339,536,1,1056,1,711,84,350
MSTRG.21145,170,408,1,402,352,336,1,264,1,362,78,653,1,543,1,431
MSTRG.42525,1,115,512,1,3,49,1,6,3,50,1,142,1,141,35,118
MSTRG.11599,1,205,650,67,1,161,1,107,308,47,1,222,1,165,1,79
MSTRG.19029,1,156,12,40,1,77,1,45,130,43,1,55,1,69,67,19
MSTRG.45897,1,267,274,108,1,136,1,180,212,209,4,530,1,391,204,220
MSTRG.13566,1,141,1774,42,1,123,1,121,542,135,1,232,1,568,1,209
MSTRG.49592,1,74,1296,1,1,93,1,24,72,125,1,360,1,493,1,157
MSTRG.59,1718,38104,111,47725,11152,41653,45,32616,28686,61747,33636,137681,33175,150342,10235,81195
MSTRG.8866,7,119,2,36,65,76,2,111,1,111,33,139,522,53,1,86
MSTRG.28658,4,216,1,54,98,146,1,195,1,83,725,235,38,142,1,149
MSTRG.26507,325,76,1,133,1,116,1,21,1,53,164,178,1414,273,1,81
MSTRG.19868,1,143,150,43,1,75,1,139,166,122,1,130,1,172,166,104
MSTRG.34846,1,869,1,540,1,579,368,517,830,377,1,820,1,457,57,241
MSTRG.29048,1,317,628,142,3,231,1,255,430,255,1,455,1,254,39,134
MSTRG.43042,1,78,1,28,1,44,4,25,334,50,1,111,1,179,289,123
MSTRG.44620,1,175,11,266,1817,247,1,288,1,458,75,1026,829,559,1,484
MSTRG.22116,1,244,847,158,4,274,1,414,254,229,1,572,1,339,168,264
MSTRG.25369,1,174,1,210,1,140,438,48,217,98,1,220,1,240,86,92
MSTRG.27109,1,39,67,1,1,36,1,30,113,40,3,205,1,99,31,49
MSTRG.27749,1,427,445,18,2,315,1,348,540,395,3,743,3,518,176,382
MSTRG.20920,12,153,1556,127,4,138,1350,173,44,146,25,394,4,689,131,246
MSTRG.33449,1,333,1959,246,1,333,1,195,21,233,1,616,1,377,92,226
MSTRG.41868,1882,329,1,113,537,225,1,132,1,125,70,398,1,557,1,306
MSTRG.34067,1,389,1182,162,3,164,1,171,78,126,1,327,1,184,52,137
MSTRG.7200,1,110,437,30,1,105,1,114,60,138,1,269,1,241,107,181
MSTRG.12489,487,830,1,816,862,814,1,824,377,627,275,1968,844,1941,766,1090
MSTRG.34947,1,65,6045,29,1,74,1,32,22,52,1,267,1,294,1,144
MSTRG.7179,1,197,1902,115,6,235,1,241,251,225,3,697,1,749,169,390
MSTRG.26976,1,131,26,234,1,225,180,300,129,201,3,291,1,206,30,111
MSTRG.9597,1,219,579,246,1,251,1,288,365,334,4,880,1,1465,213,811
MSTRG.683,4,542,1,929,3,436,1,616,1,361,273,620,339,509,1,258
MSTRG.27166,1,218,966,402,1,275,1,286,76,206,1,651,1,972,62,344
MSTRG.25228,1,191,1,256,1,168,684,125,72,227,1,372,1,359,175,231
MSTRG.14138,1,360,356,204,5,224,1,126,296,172,1,430,1,414,59,344
MSTRG.17072,805,283,1,285,811,626,1,193,432,603,428,1446,757,2164,545,1335
MSTRG.11717,1,542,455,611,1,736,1,447,155,395,1,1003,1,979,36,572
MSTRG.43696,354,72,4,35,45,19,6,86,2,52,1,124,451,13,1,64
MSTRG.15317,1,684,362,572,3,465,1,667,1301,551,1,1369,1,627,31,540
MSTRG.14339,1,200,1,31,1,236,260,89,73,54,1,140,1,102,11,108
MSTRG.22195,364,539,1,327,3,195,1,584,1,84,3,113,526,196,1,125
MSTRG.38444,1,1071,270,921,1,280,1,754,99,739,1,1720,1,1988,215,787
MSTRG.43023,1,55,541,72,3,66,1,49,244,145,1,572,1,395,14,129
MSTRG.31306,1,549,1078,273,1,298,1,228,679,292,1,564,1,386,1,339
MSTRG.31541,1,12,1,116,521,14,1,15,1,44,27,17,1,54,1,37
MSTRG.23604,1,544,1218,4,1,623,1,777,428,514,1,944,1,677,29,580
MSTRG.37568,1,110,541,1,1,95,1,75,326,66,1,228,1,56,1,60
