gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.10382,1,118,1,36,201,77,1,32,1,43,2,125,59,72,1,92
MSTRG.5811,1,157,1,42,1,96,1,80,1,45,1,120,1,99,1,64
MSTRG.47090,1,56,1,65,1,40,1,110,1,24,2,15,1,30,17,14
MSTRG.10383,1,2,2,1,1,3,1,1,7,4,1,20,1,17,2,4
MSTRG.28363,1,12,1,40,1,29,1,24,1,1,1,1,1,1,1,16
MSTRG.28362,667,693,2271,712,2159,448,103,624,88,376,93,769,353,628,223,325
MSTRG.5918,1,1,145,16,1,4,1,22,1,3,11,3,1,3,1,4
MSTRG.10380,1,58,1,1,1,1,1,11,1,1,1,1,1,1,1,1
MSTRG.20438,1,1,667,6,1,3,1,7,5,4,73,53,1,7,1,14
MSTRG.10381,1,17,1,1,1,15,1,58,1,1,1,7,1,22,1,14
MSTRG.43179,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.43178,1,3,1,1,1,13,1,1,1,1,1,11,1,4,1,1
MSTRG.19848,1,4,1,1,1,7,1,1,1,1,1,126,1,31,1,5
MSTRG.19849,1,176,1,81,1,118,1,238,1,60,1,246,1,92,1,41
MSTRG.19846,1,1,1,45,1,17,1,1,1,1,1,1,1,1,1,20
MSTRG.43174,1,7,1,1,1,8,1,18,1,13,1,7,1,1,1,29
MSTRG.19844,1,1,1,1,1,7,1,7,1,1,1,1,1,8,1,1
MSTRG.43176,1,1,1,3,1,2,1,4,1,1,37,1,1,1,1,1
MSTRG.43171,1,68,3,61,1,37,1,120,1,27,1,150,197,31,1,23
MSTRG.19843,1,49,1,1,39,48,1,25,1,42,1,1,1,82,1,59
MSTRG.19840,1,202,1,54,1,76,1,100,14,73,89,206,2,77,1,78
MSTRG.43172,1,10,1,2,1,1,1,1,1,1,1,2,1,18,1,1
MSTRG.15172,1,1,5,8,60,1,1,3,1,1,7,1,1,1,1,1
MSTRG.15173,11,682,6,567,2,378,2,316,3,226,35,366,10,197,55,170
MSTRG.15170,1,818,1208,503,3359,549,1,742,775,423,264,919,392,758,110,376
MSTRG.15171,1,1,1,1,1,1,1,1,56,36,55,181,1,160,54,81
MSTRG.15176,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1
MSTRG.15177,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.15174,1,1,1,11,1,11,2,15,43,11,1,3,1,1,2,5
MSTRG.15175,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
MSTRG.15178,1,212,132,126,1,183,1,199,327,178,1,248,1,441,1,229
MSTRG.15179,1,183,1,109,311,190,1,228,289,107,1,356,1,97,1,132
MSTRG.10522,1,1,1,1,1,13,1,1,1,64,1,48,1,157,1,78
MSTRG.37300,1,32,1,1,1,13,1,2,1,7,40,46,1,14,1,17
MSTRG.37303,1,20,1,21,1,1,1,4,1,9,1,9,1,6,1,9
MSTRG.37302,1,1,1,9,1,4,1,1,1,1,1,2,1,20,1,1
MSTRG.10526,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1
MSTRG.37304,1,1,1,1,1,11,1,33,1,1,1,1,1,1,1,1
MSTRG.37307,1,4,1,16,1,19,1,39,1,13,1,20,1,10,1,15
MSTRG.37306,1,117,1,74,1,73,1,53,1,55,18,139,1,55,27,51
MSTRG.37309,1,7,1,18,1,1,1,7,1,1,40,1,1,12,1,6
MSTRG.37308,1,151,1,91,2,158,1,67,1,108,8,374,546,314,50,93
MSTRG.10528,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.10529,525,1504,90,1630,1010,1247,75,1801,845,1363,35,5615,292,6721,251,3620
MSTRG.20436,1,14,12,3,4,7,1,2,1,4,7,18,2,1,5,15
MSTRG.18315,1,7,1,1,1,5,1,2,1,3,38,8,1,2,1,4
MSTRG.20434,1,7,15,2,8,4,1,3,2,2,19,10,2,3,13,7
MSTRG.5660,1,51,309,37,480,90,1,40,1,35,49,41,154,60,70,54
MSTRG.5661,1,15,1,25,1,33,1,12,1,42,1,53,1,51,1,18
MSTRG.5662,1,1,1,1,1,1,1,1,1,1,31,1,1,1,1,1
MSTRG.5663,1,22,1,37,1,32,1,19,1,29,1,172,1,83,15,75
MSTRG.5664,1,4,1,1,1,4,1,13,1,1,1,1,1,1,1,1
MSTRG.5665,1,4,1,1,1,6,1,10,1,2,1,7,1,1,1,1
MSTRG.5666,2,3,1,2,2,2,1,17,3,2,2,14,222,5,13,5
MSTRG.5667,1,10,1,1,1,17,1,1,1,6,1,26,1,3,215,1
MSTRG.5668,1,83,1,1,1,10,1,50,1,28,1,72,1,121,1,38
MSTRG.5669,1,25,1,4,1,10,1,10,1,1,1,1,1,1,1,1
MSTRG.38304,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.38305,1,384,36,305,1,278,1,419,59,209,1,417,1,279,1,241
MSTRG.38306,1,1,1,1,1,2,1,20,1,1,1,1,1,1,1,2
MSTRG.38307,1,1,1,67,1,6,1,1,1,3,1,1,1,1,1,8
MSTRG.38300,1,7,1,1,1,4,1,25,1,1,1,1,1,8,1,1
MSTRG.38301,1,2,1,15,1,3,1,1,1,1,1,1,1,1,1,1
MSTRG.38302,1,12,2,1,1,5,1,8,1,2,1,1,1,1,1,1
MSTRG.38303,1,22,1,1,1,3,1,1,1,1,1,1,1,1,1,1
gene11260,1,10,1,12,1,15,1,25,1,8,1,4,1,1,1,5
MSTRG.14782,1,2,1,1,1,2,1,13,1,1,1,1,1,1,1,4
gene11267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.17237,1,35,1,41,1,25,1,40,1,85,447,92,1,201,6,126
gene21191,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
MSTRG.3848,1,11,1,6,1,3,1,33,1,1,1,1,1,1,1,9
gene21190,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1
gene5733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.3842,1,50,1,1,1,2,1,33,1,1,1,18,1,1,1,1
MSTRG.3843,1,1,1,23,1,12,1,16,1,4,1,1,1,2,1,1
MSTRG.3840,1,19,1,1,1,1,1,1,1,1,1,16,1,1,1,1
MSTRG.3841,1,1,1,1,1,1,1,1,170,1,1,16,1,1,1,1
MSTRG.3846,1,5,1,16,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.3847,1,13,1,13,1,1,1,4,1,1,1,1,1,1,1,1
MSTRG.3844,3,3,4,1,1,1,1,1,2,1,2,31,1,1,1,1
MSTRG.3845,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1
MSTRG.18719,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.18718,1,50,1,1,412,111,1,17,1,1,1,1,1,1,1,1
MSTRG.37643,21,77,4,36,1,4,1,10,1,14,110,114,1,32,1,19
MSTRG.18715,1,81,1,31,1,41,1,233,1,41,366,38,1,126,1,81
